id,company,logo,description,site,address,created_at,updated_at
1,A.N.LAB (Công ty CP Trung tâm nghiên cứu A.N),https://cdn.topcv.vn/140/company_logos/a-n-lab-cong-ty-cp-trung-tam-nghien-cuu-a-n-5b10c52b3d911_rs.jpg,"Giới thiệu công ty
Công ty Cổ phần Trung tâm nghiên cứu A.N (http://anlab.jp/en/ ) là công ty hoạt động trong lĩnh vực IT có văn phòng làm việc tại Hà Nội và Tokyo. Các thành viên chủ chốt của công ty đều có kinh nghiệm sống, học tập và làm việc nhiều năm tại Mỹ, Nhật Bản. Khách hàng chủ yếu của công ty là các công ty, trung tâm nghiên cứu ở nước ngoài, đặc biệt là khách hàng Mỹ, Nhật Bản. Công ty có môi trường làm việc chuyên nghiệp, mang tính quốc tế cao, luôn tạo điều kiện cho các cá nhân có cơ hội phát triển nghề nghiệp. ",https://anlab.jp/en/,"Tầng 8, tòa nhà 18/4, số 8 Phạm Hùng, P Mai Dịch",4/7/2023,4/7/2023
2,Admicro (Công ty CP VCCorp),https://cdn.topcv.vn/140/company_logos/admicro-cong-ty-cp-vccorp-60eeab566a2c4.jpg,"Admicro thuộc Công ty cổ phần truyền thông Việt Nam_VCcorp
Admicro hiện đang là mạng lưới kinh doanh quảng cáo trực tuyến hàng đầu tại thị trường Việt Nam
Mạng lưới quảng cáo chất lượng và lớn nhất với hơn 200 Publisher/website uy tín tại Việt Nam như Dân Trí, Kênh 14, CafeF, Afamily, GenK…trong đó có 27 website sở hữu và được độc quyền kinh doanh quảng cáo. Phủ tới 90% người dùng web và 95% người dùng mobile Internet.",https://tuyendung.admicro.vn/,"Tầng 20, Center Building Hapulico Complex, Số 1 Nguyễn Huy Tưởng, Thanh Xuân, Hà Nội",4/7/2023,4/7/2023
3,ADP ARCHITECTS - CÔNG TY CỔ PHẦN NỘI THẤT CƠ BẢN,https://cdn.topcv.vn/140/company_logos/cong-ty-adp-architects-6295c5f81e8ce.jpg,"ADP Architects (www.adparch.com) là công ty kiến tạo không gian làm việc hàng đầu tại Việt Nam. Chúng tôi đã thiết kế và thi công hơn 500 văn phòng tính đến thời điểm hiện nay.
Khách hàng của chúng tôi là những tập đoàn hàng đầu thế giới trong nhiều lĩnh vực như: Nestle, Puma, Schlumberger, BP Castrol, Bosch, Sony, Maerks, Daikin, Huawei, Johnson & Johnson…
Bạn hãy cùng chúng tôi trải nghiệm môi trường làm việc mà ở đó:
VĂN HÓA HƯỚNG ĐẾN CÁC KẾT QUẢ VƯỢT TRỘI
Tại ADP chúng tôi là 1 gia đình lớn của những người trẻ không tin vào những giới hạn về những gì mình có thể làm. Dám dấn thân và đẩy tới các giới hạn là cách chúng tôi nghĩ và làm trong các công vịêc của mình, đó là cách mà một công ty Vịêt Nam trẻ trở thành một trong những công ty nội thất hàng đầu tại Việt Nam và phục vụ những khách hàng là những công ty hàng đầu trên thế giới. Vì vậy nếu bạn là người không hài lòng với những kết quả “tàm tạm”, chúng tôi luôn chào đón!
SỰ PHÁT TRIỂN BẢN THÂN
Cho dù bạn ở vị trí công vịêc nào, bên cạnh niềm vui, sự khám phá thì ADP luôn mong muốn bạn trưởng thành và phát triển. Văn hoá của ADP chú trọng sự chủ động suy nghĩ và hành động của các thành viên để tiến hành công việc của mình vì chúng tôi tin rằng chỉ có tự mình trải nghiệm bạn mới trưởng thành thực sự, chính vì vậy ADP làm môi trường khuyến khích mọi người chấp nhận rủi ro, thử nghiệm để hướng đến những kết quả xuất sắc và trưởng thành. Nếu bạn cần sự hỗ trợ thì người quản lý của bạn luôn sẵn sàng để làm việc đó, nếu bạn cần trang bị kiến thức và kỹ năng thì các khoá đào tạo nội bộ và cả bên ngoài sẽ giúp bạn.
NIỀM VUI KHÁM PHÁ & TRẢI NGHIỆM
Tại ADP chúng tôi luôn mong muốn và thực sự xây dựng công ty của chúng tôi thành một môi trường mà mọi người đến không chỉ để làm việc và nhận thù lao. Chúng tôi luôn tin rằng tất cả mọi người xứng đáng được làm những điều mình yêu thích, có niềm vui trong những công vịêc của mình và thực sự “sống” thời gian tại công ty của mình.
Thông tin liên hệ
Website: www.adparch.com
Fanpage: www.facebook.com/pg/adparch
Trụ sở chính: Tầng 1, Toà nhà số 56 Thủ Khoa Huân, Phường Bến Thành, Quận 1, Tp. HCM
Chi nhánh Hà Nội: Phòng 502, Toà Nhà Khâm Thiên, 193 - 195 Khâm Thiên, P.Thổ Quan, Quận Đống Đa, Hà Nội",https://www.adparch.com/,"Tầng 1, Toà nhà số 56 Thủ Khoa Huân, Phường Bến Thành, Quận 1, Tp. HCM",4/7/2023,4/7/2023
4,Adpia,https://cdn.topcv.vn/140/company_logos/adpia-59a532a53f9f4.jpg,"Là công ty Hàn Quốc chuyên cung cấp dịch vụ tiếp thị liên kết Affiliate Marketing truyền thông, quảng bá sản phẩm, tăng doanh số bán hàng cho đối tác. Kênh kiếm tiền online thông qua quảng bá sản phẩm trên website, blog hoặc mạng xã hội,...
Được khởi tạo từ năm 2000 bởi công ty LinkPrice Hàn Quốc. Năm 2004 LinkPrice phát triển sang thị trường Trung Quốc lấy tên là Linktech và trở thành công ty đứng thứ 2 trong thị trường tiếp thị liên kết. Tiếp nối thành công đó vào năm 2013, mô hình tiếp thị liên kết của công ty LinkPrice phát triển tại Việt Nam dưới sự điều hành của tập đoàn Dreamline Hàn Quốc và trở thành nền tảng tiếp thị liên kết đầu tiên tại Việt Nam. Qua thời gian việt hóa và trải nghiệm người sử dụng tại Việt Nam, Adpia chính thức đi vào hoạt động vào đầu năm 2014 trên tất cả các lĩnh vực: Thương mại điện tử, Du lịch, Giáo dục, Nhân sự, Ngân hàng, Game…",https://adpia.vn,"Tầng 30, tòa nhà Handico, Phạm Hùng, Nam Từ Liêm",4/7/2023,4/7/2023
5,Aeon Vietnam,https://cdn.topcv.vn/140/company_logos/aeon-vietnam-5e4cff3ea2fcd.jpg,"Chuỗi các Trung tâm thương mại và Siêu thị tại AEON hiện đang được vận hành thành công tại Nhật Bản và nhiều quốc gia khác trong khu vực Châu Á. Các trung tâm thương mại và Siêu thị AEON mang đến cho khách hàng sự hỗ trợ toàn diện các nhu cầu thiết yếu hàng ngày, bao gồm đa dạng các ngành hàng, từ quần áo, thực phẩm đến các mặt hàng đồ gia dụng. Các mặt hàng này được lựa chọn và giám định một cách kỹ lưỡng, đáp ứng một cách hoàn hảo về khẩu vị, và thị hiếu của người dân địa phương, cũng như sẵn sang cung cấp các dịch vụ cần thiết khác.
Tại Việt Nam, khi đến với Trung tâm thương mại và Siêu thị AEON, các khách hàng có thể dễ dàng tìm được cho mình đa dạng các loại hàng hóa, sản phẩm và vẫn đáp ứng tiêu chuẩn an toàn, vệ sinh theo tiêu chuẩn Nhật Bản, và có nhiều sự lựa chọn hơn cho ẩm thực với hàng trăm món ăn phù hợp khẩu vị người Việt Nam.",http://www.aeon.com.vn,"30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Q. Tân Phú, TP. HCM",4/7/2023,4/7/2023
6,AES Technologies,https://cdn.topcv.vn/140/company_logos/aes-technologies-5f5f1497eb4cf.jpg,"AES Technologies is a leading Real Estate Application Provider. Headquartered in Singapore, AES Technologies serves in various real estate markets, including Malaysia, Thailand, Cambodia, Vietnam and Hong Kong.
We are thoroughly committed to providing the highest quality in real estate application and services to our clients, adding value that exceeds expectations and achieving their fundamental objectives.
In addition to technology solutions, we offer consulting services to government institutions like the ministry of national development Singapore, the Singapore land authority, and major international consultancy firms in the investment and real estate industries.
In the near future, AES is planning to serve the hospitality industry through its expertise, domain knowledge, and rich suite of technologies. We are also willing to territorially expand in the real estate sector of Myanmar and Laos. 
Trust, Integrity and Teamwork are the values upon which we built our growth and success, and which we live and work by.
TOP 3 REASONS TO JOIN US:
1. Year-end bonus, project and performance bonuses
2. Chance to work overseas
3. Gain knowledge about business logic",https://www.aestechgroup.com/,"BCONS Tower, 4A/167A Duong D1, P.25, Binh Thanh, Ho Chi Minh",4/7/2023,4/7/2023
7,AFIRE Co.ltd,https://cdn.topcv.vn/140/company_logos/s3w1GaCAL6ImMAQNYXuIFU6junUxwp0m_1658461354____1964e4a91b2d0dd144ad92175cd10401.jpg,"AFIRE là một công ty start-up hoạt động trong lĩnh vực Thương mại điện tử. 
Với đội ngũ nhân sự trẻ trung, nhiệt huyết, giàu sức sáng tạo, AFIRE hướng tới xây dựng một môi trường làm việc chuyên nghiệp, năng động, văn minh với slogan "" Be Kind - Be Professional""",null,Khương Đình - Thanh Xuân - Hà Nội,4/7/2023,4/7/2023
8,AGS Accounting Limited Company,https://cdn.topcv.vn/140/company_logos/VdbovWWWc2mCsLwOw4Cf65GoEhf7fBV2_1676368541____03c398196456090b4ac2153cf48114c3.png,"Công ty TNHH Kế toán - Kiểm toán AGS
Về công ty chúng tôi:
-Thành lập ngày 10 tháng 9 năm 2012
-Đội ngũ nhân viên: ~ 200 nhân viên (Trong đó 2 Giám đốc người Nhật thường trú)
-Đội ngũ CPA: 10 CPA VN(Bao gồm Kế toán viên và Kiểm toán viên hành nghề)
-Số lượng khách hàng: ~ 500 khách hàng là doanh nghiệp Nhật Bản
-Sứ mệnh: Chúng tôi đang nỗ lực trở thành cố vấn tốt nhất cho doanh nghiệp Việt Nam.
Chúng tôi cung cấp các dịch vụ như sau:
-Kế toán/Thuế: Báo cáo tài chính tháng, PIT, VAT, CIT, quyết toán thuế, báo cáo hợp nhất, tư vấn chung (Đội ngũ kế toán viên-kiểm toán viên người Nhật thường trực tại văn phòng);
-Kiểm toán: Thực hiện điều tra kiểm toán theo yêu cầu của công ty;
-Thành lập doanh nghiệp/ Thủ tục lưu trú: Hỗ trợ vấn đề liên quan đến lưu trú (Giấy phép lao động, Visa), thay đổi bổ sung giấy phép về thành lập pháp nhân, văn phòng đại diện, thủ tục giải thể, bổ sung mã HS, thay đổi người đại diện, mua bán và sáp nhập;
-Pháp lý lao động: Tư vấn về luật pháp, điều tra, lập hợp đồng, lao động, mua bán và sáp nhập, giải quyết tranh chấp;
-Hỗ trợ hành chính tổng vụ: Hỗ trợ lập hợp đồng, biên bản ghi nợ, quản lý thu nhập, biên phiên dịch, thủ tục ngân hàng, thủ tục bảo hiểm;
M&A: Hỗ trợ trọn gói về đầu tư, báo cáo thẩm định, xin giấy phép kinh doanh, hợp đồng, kế toán - thuế.",Linked in: https://www.linkedin.com/company/ags-accounting-vietnam/,"Hà Nội: Tòa nhà Hoàng Sâm, số 260-262 Bà Triệu, P. Lê Đại Hành, Q. Hai Bà Trưng.",4/7/2023,4/7/2023
9,AHAMOVE - Người vận chuyển của bạn,https://cdn.topcv.vn/140/company_logos/ahamove-nguoi-van-chuyen-cua-ban-597eb4107616e_rs.jpg,"Công ty hàng đầu trong llĩnh vực giao nhận cho thương mại điện tử (e-commerce), cung cấp nền tảng công nghệ - ứng dụng kết nối những người có nhu cầu giao hàng trong nội thành (buôn bán online, các tiểu thương) với các tài xế shipper.",https://ahamove.com/,"Tòa nhà Rivera Park, 7/28, Thành Thái, Phường 14, Quận 10",4/7/2023,4/7/2023
10,AI SMILE,https://cdn.topcv.vn/140/company_logos/PEnG144DB9GUJyLAtvEiXyJpbYD9Cuze_1654511959____e3a43ca5aa7f6b175e95718b253eb1e4.JPG,"Niền răng trong suốt AI SMILE
Tháo lắp dễ dàng, nhanh chóng, cho bạn nụ cười hoàn hảo",https://aismile.com.vn/,"2 Tôn Đức Thắng, Bến Nghé, Quận 1",4/7/2023,4/7/2023
