id,company,logo,description,site,address,size,created_at,updated_at
1,"TV TPI CO., LTD",https://via.placeholder.com/90,"['TV TPI là tổ chức luôn mang sứ mệnh cung cấp cho người sử dụng thuốc các sản phẩm giá trị và chất lượng được đăng ký tại Châu Âu với giá thành hợp lý. Bên cạnh sự phát triển kinh doanh, chúng tôi luôn ý thức được rằng mỗi nhân sự là một mắt xích quan trọng, là nhân tài của tổ chức. Do đó, TV TPI luôn tìm kiếm những con người mong muốn phát triển bản thân, không ngừng học hỏi và góp phần tạo nên sự phát triển bền vững của công ty.', 'Sứ mệnh', 'TV TPI ra đời nhằm phụng sự cho người sử dụng thuốc tại Việt Nam và các nước Đông Nam Á qua việc cung cấp cho người sử dụng thuốc các sản phẩm giá trị và chất lượng được đăng ký tại Châu Âu với giá thành hợp lý.', 'Tầm nhìn', 'Đưa TV TPI nằm trong Top 1.000 công ty Dược vào năm 2027. Giữ vững là Công ty số 1 cung cấp các dịch vụ EU GMP cho tất cả các đối tác hoạt động tại Việt Nam. Là Công ty đầu tiên tại Việt Nam sở hữu số đăng ký thuốc “Generics” được sản xuất tại Việt Nam nhiều nhất tại Châu Âu.', 'Công Ty hoạt động trong lĩnh vực Kinh Doanh và Phân Phối các sản phẩm:']",http://tvtpi.com.vn/,"72 Bình Giã, Phường 13, Quận Tân Bình, TP. HCM",25-99,4/7/2023,4/7/2023
2,CÔNG TY CỔ PHẦN BRAINMARK VIETNAM,https://via.placeholder.com/90,"['BrainMark Consulting là một thành viên của BrainGroup, chuyên tư vấn doanh nghiệp trong lĩnh vực phát triển Hệ thống quản lý, BSC-KPI, Nhân sự, Kinh doanh, Marketing, Thương hiệu… với sứ mạng cung cấp các giải pháp tạo ra sức sống mới cho thương hiệu, chúng tôi đã triển khai các chương trình tư vấn được khách hàng ngày càng tín nhiệm.', 'BMG Business Training là một thành viên của BrainGroup, là đơn vị đào tạo đa ngành, dựa trên nền tảng ứng dụng thực tiễn chuyên nghiệp tập trung vào các nhóm ngành khoa học ứng dụng bao gồm: Marketing, Kinh doanh, PR, Truyền thông…', 'BrainTek là một thành viên của BrainGroup, công ty tư vấn giải pháp Chuyển đổi số, một thành viên của Tập đoàn BrainGroup. Chúng tôi mang lại giải pháp hỗ trợ Doanh nghiệp tăng khả năng cạnh tranh, giúp tạo nên mô hình kinh doanh mới nhằm gia tăng giá trị Doanh nghiệp. Hiện nay với công nghệ phát triển mạnh mẽ, BrainTek đã triển khai các gói phần mềm chuyên dụng nhằm giúp doanh nghiệp quản lý điều hành thuận tiện và hiệu quả hơn.', '', '', '', '']",https://brainmark.vn/,"596 Nguyen Dinh Chieu, Phuong 3, Quan 3, TP. HCM",25-99,4/7/2023,4/7/2023
3,CÔNG TY TNHH THIẾT KẾ AURIENT GOLD,https://via.placeholder.com/90,"['Aurient Gold is a contemporary jewelry design studio and gallery situated on To Ngoc Van street, Tay Ho. We specialize in contemporary jewelry design, jewelry-making workshops, making bespoke jewelry for clients, and selling lifestyle and décor products on the second floor.', 'Aurient Gold là một studio thiết kế, chế tác và trưng bày trang sức nằm trên đường Tô Ngọc Vân, quận Tây Hồ. Chúng tôi chuyên thiết kế trang sức đương đại, workshop thiết kế trang sức, thiết kế và chế tác trang sức đặt làm riêng cho khách hàng, ngoài ra chúng tôi cũng kinh doanh các sản phẩm trang trí nội thất trên tầng hai.']",https://www.aurientgold.com/,"84 Tô Ngọc Vân, Quảng An, Tây Hồ, Hà Nội",1-9,4/7/2023,4/7/2023
4,SVTECH,https://via.placeholder.com/90,"['SVTECH – Nhà tuyển dụng hàng đầu', 'Trải qua gần 20 năm phát triển, SVTECH đang hướng đến tầm nhìn Trở thành một trong những công ty hàng đầu về tích hợp hệ thống tại Việt Nam và các nước trong Khu vực. Hoạt động trong 03 lĩnh vực trong tâm SI, Cloud Services, Software. Tập thể SVTECHers không ngừng nỗ lực với triết lý Xuất sắc nhất trong lĩnh vực hoạt động.', 'Chọn Tin tưởng để bắt đầu cho mọi mối quan hệ, SVTECH đang là đối tác cao cấp nhất tại Việt Nam của nhiều hãng CNTT hàng đầu thế giới như IBM, HPE, Juniper, Oracle, CIENA, Infinera, AWS v.v…', 'SVTECH vinh dự được tin tưởng đồng hành cùng các khách hàng là những tổ chức lớn trong nhiều lĩnh vực kinh doanh, điển hình như Viettel, VNPT, Mobilfone, FPT Telecom, Vinamilk, Vin Group, ACB, Sacombank v.v..', 'Một cú chạm – Hạnh Phúc đến…', '']",http://svtech.com.vn/,"2A Phan Thúc Duyện, P 4, Q Tân Bình, TP. HCM",100-499,4/7/2023,4/7/2023
5,CÔNG TY TNHH TRIỆU ĐIỀN,https://via.placeholder.com/90,"Công ty TNHH Triệu Điền có địa chỉ ở 32 Nguyen Van Huong, Giang Biên, long Biên, Hà Nội. Công ty chuyên về cây xanh đô thị. Những công việc bao gồm: thiết kế cảnh quan sân vườn, mua bán cây cảnh, chăm sóc sân vườn... và thực hiện các công trình dự án cảnh quan tại biệt thự, chung cư, cơ quan, khu đô thị",https://trieudien.com/,"Tòa Ruby 1, Giang Biên, Long Biên, Hà Nội",25-99,4/7/2023,4/7/2023
6,CÔNG TY TNHH DAKAMI COSMETIC,https://via.placeholder.com/90,"['Công Ty TNHH Dakami Cosmetic', 'Chi nhánh Tân Đạt Phát', 'Địa chỉ: VP tầng 3, Toàn Fivestar, số 2 Kim Giang, Thanh Xuân, Hà Nội', 'Tân Đạt Phát thuộc lĩnh vực kinh doanh mỹ phẩm và các sản phẩm chăm sóc sức khỏe cho con người. Môi trường làm việc năng động, thoải mái, tích cực đào tạo những con người nhiệt huyết và đam mê kinh doanh. Đây là môi trường học tập tích cực để phát triển và rèn luyện bản thân. Bên cạnh đó chúng tôi luôn chào đón những con người luôn muốn phát triển trong kinh doanh cùng chúng tôi xây dựng công ty ngày một vững mạnh.']",https://dakamicosmetic.vn/,"Tầng 3, tòa nhà G4, dự án Five Star Garden, số 2 đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",25-99,4/7/2023,4/7/2023
7,Công ty TNHH thẩm mỹ quốc tế Linh Anh,https://via.placeholder.com/90,"Thẩm mỹ Quốc tế Linh Anh được thành lập vào năm 2016, là địa chỉ làm đẹp uy tín và chất lượng hàng đầu Việt Nam với hệ thống 14 cơ sở trải dài khắp cả nước. Chúng tôi sở hữu đội ngũ bác sĩ và chuyên gia đầu ngành, đầu tư cơ sở vật chất hiện đại và xây dựng quy trình làm việc chuyên nghiệp, tận tâm.
Khởi đi từ khát vọng “Lan tỏa vẻ đẹp Việt”, Thẩm mỹ Quốc tế Linh Anh thường xuyên cập nhật những công nghệ làm đẹp mới nhất trên thế giới, giúp phái đẹp thăng hạng nhan sắc một cách nhanh chóng – an toàn – hiệu quả. Bên cạnh đó, khách hàng khi đến với chúng tôi còn được tận hưởng cảm giác thư giãn trong không gian đẳng cấp, sang trọng.
Trải qua hơn 6 năm hình thành và phát triển, Linh Anh từng bước xây dựng tên tuổi thương hiệu, tự hào trở thành điểm đến nâng tầm diện mạo của hơn 30 ngôi sao hạng A, 50.000 doanh nhân – chính khách và 5 triệu phụ nữ Việt. Trong tương lai, chúng tôi sẽ tiếp tục phấn đấu để giữ vững vị thế là người bạn đồng hành tin cậy của mọi khách hàng trên hành trình chinh phục vẻ đẹp hoàn mỹ.",https://thammylinhanh.vn/gioi-thieu-vien-tham-my-quoc-te-linh-anh/,"số 15, đường số 5, Hado Centrosa, 118 đường 3 tháng 2 phường 12, quận 10, TP. HCM",100-499,4/7/2023,4/7/2023
8,Công Ty Cổ Phần TMDV 30Shine,https://via.placeholder.com/90,"['Công ty Cổ Phần Thương Mại Dịch Vụ 30Shine', 'Ra đời từ tháng 5/2015, 30Shine là chuỗi hệ thống hair salon đẳng cấp nhất Việt Nam. Ở thời điểm hiện tại đã có gần 70 cơ sở trên 14 thành phố lớn và đang tiếp tục mở rộng thêm rất nhanh ra toàn quốc và vươn ra nước ngoài... Với những sản phẩm, dịch vụ chăm sóc tóc, da mặt chuyên nghiệp - gói gọn trong quy trình khoa học 30 phút với giá thành vô cùng hợp lý...', '', 'Không chỉ là cắt tóc tạo kiểu, đến với 30Shine sẽ là trải nghiệm chưa từng có tại bất kỳ đâu. Chỉ với 80k, người dùng đã có thể sở hữu mái tóc của những ngôi sao hàng đầu David Beckham, Cristiano Ronaldo đồng thời được gội, massage đầu bấm huyệt, chăm sóc da mặt bằng công nghệ cao, được các stylist hàng đầu tư vấn và tạo kiểu tóc phù hợp nhất... 30Shine là nơi duy nhất tại Việt Nam cho bạn trải nghiệm thư giãn giải toả stress khi bước vào và đẹp trai toả sáng khi bước ra.', 'Slogan: “Thư giãn 30phút và bạn sẽ toả sáng” có ý nghĩa cho cả nội bộ và khách hàng. Khách hàng thấy được lời hứa của thương hiệu, nội bộ nỗ lực mỗi ngày thực hiện lời hứa ấy, cũng chính là sứ mệnh 30Shine. (*) Logo và Slogan 30Shine đã được Cục Sở Hữu Trí Tuệ cấp bẳng bảo hộ độc quyền vào thánng 7/2017.']",https://30shine.com/,"số 10 Trần Phú, Mỗ Lao, Hà Đông, Hà Nội và 758 Âu Cơ, Phường 14, Quận Tân Bình, TP. HCM",1000+,4/7/2023,4/7/2023
9,CTY TNHH TM - DV VẬN TẢI SƠN HẢI,https://via.placeholder.com/90,"['Chuyên vận chuyển các mặt hàng nhung yếu phẩm, thực phẩm thiết yếu đi cả nước, các khu vực Tây Nguyên, ... Nhận ký kết giao hàng dịch vụ CPN các mặt hàng lô, hàng lể, hàng khối, .. trên toàn quốc .', 'Nhận đơn hàng và xử lý các vấn đề liên quan đến vận tải, giao hàng hằng ngày. Lập kế hoạch sắp xếp phương tiện vận chuyển theo đơn hàng của khách hàng Bố trí và sắp xếp công việc, lộ trình tuyến đường hợp lý cho tài xế, phân công cụ thể công việc cho từng nhân viên tài xế. Sắp xếp các chuyến giao hàng hợp lý, khoa học, tiết kiệm chi phí, đúng thời hạn. Kiểm soát dầu xe, lộ phí xe đi đường. Theo dõi, kiểm soát quá trình giao nhận hàng của lái xe, quản lý, hướng dẫn lái xe xử lý sự cố phát sinh']",https://vantaisonhai.com,"79 Tô Ký, Phường Trung Mỹ Tây, Quận 12, TP. HCM",10-24,4/7/2023,4/7/2023
10,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,https://via.placeholder.com/90,"['Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (gọi tắt là FPT Retail) được thành lập từ năm 2012 tại Việt Nam, là một thành viên của Tập đoàn FPT, sở hữu 2 chuỗi bán lẻ là FPT Shop và F.Studio By FPT với tổng số cửa hàng là 500 trên khắp 63 tỉnh thành (tính đến tháng 4/2018).', '', 'Hệ thống bán lẻ FPT Shop là chuỗi chuyên bán lẻ các sản phẩm kỹ thuật số di động bao gồm điện thoại di động, máy tính bảng, laptop, phụ kiện và dịch vụ công nghệ… FPT Shop là hệ thống bán lẻ đầu tiên ở Việt Nam đuợc cấp chứng chỉ ISO 9001:2000 về quản lý chất luợng theo tiêu chuẩn quốc tế. Hiện nay, FPT Shop là chuỗi bán lẻ lớn thứ 2 trên thị trường bán lẻ hàng công nghệ.', 'Chuỗi cửa hàng F.Studio By FPT: Là chuỗi cửa hàng được ủy quyền chính thức của Apple tại Việt Nam ở cấp độ cao cấp nhất, chuyên kinh doanh các sản phẩm chính hãng của Apple. FPT Retail là công ty đầu tiên có chuỗi bán lẻ với đầy đủ mô hình cửa hàng của Apple bao gồm: Cấp 1 là APR (Apple Premium Reseller), cấp 2 AAR (Apple Authorised Reseller) và iCorner, mang đến cho khách hàng không gian tuyệt vời để trải nghiệm những sản phẩm công nghệ độc đáo, tinh tế của Apple cùng dịch vụ bán hàng và chất lượng chăm sóc khách hàng cao cấp và thân thiện nhất.', 'Trong suốt nhiều năm qua, bằng những nỗ lực không mệt mỏi, trung thành với chính sách “tận tâm phục vụ khách hàng”, FPT Retail quyết tâm hoạt động, xây dựng phong cách phục vụ khách hàng cho tất cả các mảng kinh doanh dù mới hay cũ, lấy đó làm nền tảng tăng trưởng bền vững, hoàn thiện hình ảnh một thương hiệu gần gũi, thân thiện và hướng tới mục tiêu phục vụ khách hàng là ưu tiên hàng đầu .', '', 'Luôn đặt khách hàng làm trung tâm trong mọi suy nghĩ và hành động, FPT Shop đã xây dựng được một đội ngũ nhân viên với phong cách làm việc chuyên nghiệp, nhiệt tình và tận tâm với khách hàng. Bên cạnh đó, chúng tôi đã, đang và sẽ tiếp tục xây dựng trung tâm kinh doanh trực tuyến hiện đại nhất để khách hàng có thể tìm thấy FPT Shop dễ dàng và nhanh nhất.', '', 'Sự đầu tư nghiêm túc và nỗ lực không ngừng của FPT Retail đã được cộng đồng ghi nhận qua số lượt khách hàng đến tham quan mua sắm tăng mạnh và ổn định trong suốt nhiều năm qua. Sau 6 năm hoạt động, FPT Retail đã tạo dựng được niềm tin nơi Quý khách hàng khi là nhà bán lẻ đứng thứ 1 về thị phần máy tính xách tay tại Việt Nam (từ năm 2015 đến nay), đứng thứ 2 về thị phần điện thoại và là nhà bán lẻ Apple chính hãng hàng đầu tại Việt Nam với đầy đủ các chuẩn cửa hàng từ cấp độ cao nhất APR và là top 4 nhà bán lẻ hàng đầu Việt Nam.', '', 'Kết thúc năm 2017, FPT Shop đạt doanh thu 13.147 tỉ đồng, lợi nhuận trước thuế đạt 363 tỉ đồng. Trong đó, doanh thu bán hàng trực tuyến đạt 2,034 tỉ đồng, tăng trưởng 68% so với năm 2016 và chiếm 15.47% tổng doanh thu của công ty.', '', 'FPT Retail cũng vinh dự được nhận nhiều giải thưởng: Top 100 giải thưởng “Sản phẩm, dịch vụ uy tín chất lượng” do người tiêu dùng bình chọn (Hội Tiêu chuẩn và bảo vệ người tiêu dùng Việt Nam tổ chức), được vinh danh Thương hiệu mạnh Việt Nam liên tiếp trong 3 năm 2013, 2014, 2015 và năm 2017 (Thời báo Kinh tế Việt Nam tổ chức), Nhà bán lẻ được yêu thích nhất 2016 do Thời báo Kinh tế VN bình chọn. Tính đến tháng 7/2017, FPT Retail lọt vào Top 4 nhà bán lẻ hàng đầu ở Việt Nam, Top 500 nhà bán lẻ hàng đầu Châu Á – Thái Bình Dương (Retail Asia). Tháng 11/2017, FPT Retail đã lọt Top 10 nhà bán lẻ uy tín do Công ty cổ phần Báo cáo đánh giá VN (Vietnam Report) và báo điện tử Vietnamnet tiến hành khảo sát. Theo Euromonitor và Retail Asia Publishing, với doanh thu 15.717 USD / m2, FPT Retail là nhà bán lẻ hiệu quả nhất Việt Nam.']",http://frt.vn/,"261 – 263 Khánh Hội, P5, Q4, TP. HCM",5000+,4/7/2023,4/7/2023
