id,user_id,title,time_start,time_end,content,created_at,updated_at
1,3,"AMIT GROUP, Thực Tập Sinh",9/1/2022,12/1/2022,"Công việc chính:
- Viết danh sách các câu hỏi và báo giá dự án
cho khách hàng.
- Thực hiện phân tích, mô tả và thiết kế sơ đồ
hệ thống.
- Tìm hiểu về phân tích và thiết kế hệ thống.
- Hỗ trợ rà soát và cải tiến hệ thống.
Những điều đạt được:
- Học kỹ năng giao tiếp và giải quyết vấn đề.
- Nâng cao hiệu quả làm việc nhóm.
- Biết sử dụng thêm các công cụ thiết kế giao
diện.
- Học cách phân tích hệ thống.",4/3/2023,4/4/2023
2,3,"CGV Cinema, Leader Staff",12/1/2021,8/1/2022,"Công việc chính:
- Giới thiệu, tư vấn sản phẩm và giải đáp các
thắc mắc của khách hàng.
- Bán hàng cho người nước ngoài và người
Việt Nam tại Rạp chiếu phim.
- Quảng cáo sản phẩm trên các ấn phẩm
truyền thông như: banner, poster, flyer.
- Thực hiện kiểm kho, cập nhật các chương
trình khuyến mãi mới, đưa các combo phim
mới lên hệ thống
- Thực hiện các báo cáo về doanh số bán
hàng mỗi ngày.
Những điều đạt được:
- Học kỹ năng giao tiếp và giải quyết vấn đề.
- Nâng cao hiệu quả làm việc nhóm.
- Tìm hiểu quy trình bán hàng và cách làm ra
một sản phẩm.
- Kỹ năng viết báo cáo cơ bản và quy trình
quản lý kho.
- Nhân viên xuất sắc nhất tháng 1, tháng 4.
- Chi nhánh lọt vào top 5 chi nhánh bán chạy
nhất.",4/3/2023,4/4/2023
3,4,SOFTWARE DEVELOPER INTERNSHIP VNG Corporation ,3/1/2021,6/1/2021,"Công việc chính:
- Mã giao diện website giới thiệu Team
- Mã giao diện Code-Tour 2021
- Tìm hiểu về Docker và NodeJS
- Công nghệ sử dụng: ReactJS, NodeJS, Ant Design, Material UI",4/3/2023,4/4/2023
4,4,PHP PROGRAMMER INTERN LBM Investment Joint Stock Company ,8/1/2020,3/1/2021,"Công việc chính:
- Thiết kế website đóng vai trò quản lý các phòng ban trong LBM
công ty, quản lý hoạt động kinh doanh, quản lý hiệu quả kinh doanh
giữa các phòng ban.
- Mã hóa giao diện, điều chỉnh độ nhạy, điều chỉnh UI/UX cho phù hợp
Chức năng
- Lấy dữ liệu từ API, xây dựng chức năng đăng nhập, chức năng tìm kiếm, phân trang.
- Vẽ biểu đồ với ChartJS để thể hiện hiệu quả kinh doanh.
- Công nghệ sử dụng: PHP, HTML, CSS, Javascript, Jquery, ChartJS,
Khởi động",4/3/2023,4/4/2023
5,9,Software Engineer (Mobile) YOOT Technology & Training JSC,10/1/2021,7/15/1905,"Công việc chính:
- Vai trò: Mobile Developer.
- Công nghệ sử dụng: React Native, Redux, OneSignal,
Google Firebase và JavaScript.
- Dịch các yêu cầu kinh doanh và kỹ thuật thành
Các ứng dụng có thể mở rộng, có thể mở rộng và duy trì.
- Tích hợp và đề xuất chức năng API để
Xây dựng các tính năng di động.
- Cộng tác với các nhà phát triển và kỹ sư khác để
Thiết kế, xây dựng và duy trì các ứng dụng.
- Chẩn đoán và sửa lỗi và tắc nghẽn hiệu suất
cho hiệu suất mà cảm thấy tự nhiên.",4/4/2023,4/5/2023
6,9,Software Engineer Intern (Web) Codelynx Software Services Ltd.,12/1/2020,1/20/1900,"Công việc chính:
- Vai trò: Front-end Developer.
- Ngăn xếp công nghệ: ReactJS, Redux, HTML, CSS và
JavaScript.
- Phát triển trang web Q&ampA cho ReactJS Việt Nam
Cộng đồng.",4/5/2023,4/6/2023
7,1,Đồ án môn học và cá nhân,3/1/2021,3/1/2021,"BUSINESS ANALYST, TESTER tại TECHPLUS SOLUTION
Từ Tháng Hai – Tháng Chín 2020
Hệ thống ngân hàng lõi
o Xem xét, phân tích và tư vấn về các thông số kỹ thuật và yêu cầu
o Thực hiện kiểm tra thủ công cho các ứng dụng
o Ghi nhật ký lỗi và theo dõi để đóng cửa, làm việc với sự phát triển",4/5/2023,4/6/2023
8,2,Đồ án môn học và cá nhân,3/1/2021,3/1/2021,"• Tên dự án: XSMART Link
• Mô tả: Đây là website bán đồng hồ, bao gồm các chức năng như giỏ hàng, đăng ký, đăng nhập,
Lọc theo giá, lọc theo thương hiệu cũng như sản phẩm.
• Công nghệ: React.js, Redux, SASS, Strapi
• Tên dự án: FPT Shop Clone Link
• Mô tả: Đây là website dựa trên ý tưởng của FPT shop, bao gồm giỏ hàng, đặt hàng qua điện thoại
số, lọc theo giá và sản phẩm.
• Công nghệ: React.js, Redux, SASS, Strapi",4/5/2023,4/6/2023
9,3,Đồ án môn học và cá nhân,3/1/2021,3/1/2021,"Tháng 10 - 2021: Lập trình giao diện và thiết kế trò chơi T - rex
Tạo một trò chơi khủng long đang chạy. Có các chức năng cơ bản như đặt tên nhân vật, chọn nhân vật, xem hướng dẫn, chơi game, khủng long nhảy qua chướng ngại vật và ăn thịt để lấy điểm ...
Công nghệ: C#.
Công việc: Code chức năng nhảy của khủng long và bắt đầu đếm, hỗ
trợ Code các chức năng nhỏ trong game.

Tháng 09 - 2021: Hệ thống quản lý rạp chiếu phim
Phân tích thiết kế hệ thống quản lý rạp chiếu phim, mô tả chức năng cần thiết của hệ thống, phân tích luồng dữ liệu của các chức năng và vẽ sơ đồ ERD, DFD của các chức năng.
Công nghệ: Draw.IO, C#.
Công việc: Mô tả nghiệp vụ, mô tả chức năng, thiết kế sơ đồ FHD,
DFD, ERD, hỗ trợ nhóm trưởng và các thành viên.",4/5/2023,4/6/2023
10,4,Đồ án môn học và cá nhân,3/1/2021,3/1/2021,"Hrsol: Quản trị nhân sự cho doanh nghiệp
Phân tích các chức năng và hoạt động kinh doanh
Xử lý giao diện người dùng: React, Javascript, Typescript, SCSS, Ant
Thiết kế, Redux, Thành phần tạo kiểu, Thiết kế nguyên tử, Bản đồ chim bồ câu,
Mã nguồn thiết lập Hrsol-kit: React, Typescript, Rollup, Storybook
Giao tiếp với backend để xử lý api: Axios
Linters formatters: ESLint, Prettier
Gói mô-đun: Webpack, Esbuild, Craco
Kiểm tra E2E: Cypress - Phong cách BDD
Happy Hotel: đặt phòng khách sạn tại Nhật Bản
Phân tích yêu cầu từ khách hàng
Xử lý chức năng theo yêu cầu
Công nghệ được sử dụng: NextJS, Typescript, Redux, SCSS, Axios,...

Thiết kế website đóng vai trò quản lý các phòng ban trong LBM
công ty, quản lý hoạt động kinh doanh, quản lý hiệu quả kinh doanh
giữa các phòng ban.
Mã hóa giao diện, điều chỉnh khả năng phản hồi, điều chỉnh UI / UX cho phù hợp
Chức năng
Lấy dữ liệu từ API, xây dựng chức năng đăng nhập, chức năng tìm kiếm, phân trang.
Vẽ biểu đồ với ChartJS để hiển thị hiệu quả kinh doanh.
Công nghệ sử dụng: PHP, HTML, CSS, Javascript, Jquery, ChartJS,
Khởi động
Mã giao diện website giới thiệu Team
Mã giao diện Code-Tour 2021
Tìm hiểu về Docker và NodeJS
Công nghệ sử dụng: ReactJS, NodeJS, Ant Design, Material UI
Giải pháp công nghệ Citynow

Công ty Cổ phần Đầu tư LBM
Tập đoàn VNG
GIAO DIỆN NGƯỜI DÙNG
",4/5/2023,4/6/2023
